dataset_size,epoch,train_loss,train_rmse,val_loss,val_rmse
350,9,0.15337,0.39055,0.12931,0.35846
350,10,0.15211,0.38842,0.13929,0.37118
350,11,0.14373,0.37716,0.11842,0.34255
350,12,0.12188,0.34805,0.10835,0.3281
350,13,0.11588,0.33798,0.096031,0.30872
350,14,0.11084,0.33062,0.10236,0.31812
350,15,0.10507,0.32304,0.10034,0.31569
350,16,0.11406,0.33535,0.1107,0.33079
350,17,0.10373,0.32018,0.08797,0.29544
350,18,0.10496,0.32231,0.086075,0.29244
350,19,0.09956,0.31378,0.097656,0.31065
350,20,0.090417,0.29952,0.087041,0.29344
350,21,0.091914,0.30118,0.097937,0.31233
350,22,0.10364,0.31947,0.10809,0.32714
350,23,0.092143,0.30121,0.068167,0.26006
350,24,0.07934,0.2802,0.084803,0.28992
350,25,0.074124,0.27142,0.081814,0.28469
350,26,0.074425,0.27098,0.077596,0.27701
350,27,0.07293,0.2675,0.061894,0.24774
350,28,0.071046,0.26467,0.086409,0.29169
350,29,0.082389,0.28167,0.059004,0.24181
350,30,0.063627,0.25082,0.066917,0.25763
350,31,0.064022,0.25106,0.064301,0.25294
350,32,0.064459,0.25297,0.064835,0.25252
350,33,0.072924,0.26827,0.085394,0.2897
350,34,0.069002,0.25897,0.048158,0.21847
350,35,0.055062,0.23359,0.0484,0.21879
350,36,0.053067,0.22932,0.050645,0.22451
350,37,0.05367,0.23069,0.062857,0.24907
350,38,0.064457,0.25163,0.051483,0.22613
350,39,0.065833,0.25273,0.047134,0.21635
350,40,0.064531,0.25027,0.045572,0.2119
350,41,0.055687,0.23251,0.043867,0.20861
350,42,0.050653,0.22334,0.042034,0.20439
350,43,0.049175,0.22079,0.038663,0.19583
350,44,0.045418,0.21194,0.059967,0.24447
350,45,0.055865,0.23352,0.048599,0.21942
350,46,0.058248,0.23848,0.046125,0.21307
350,47,0.061144,0.2434,0.095286,0.30547
350,48,0.052447,0.22639,0.049603,0.22232
350,49,0.049574,0.22099,0.039574,0.19827
350,50,0.045035,0.21034,0.037302,0.19175
350,51,0.05585,0.2332,0.098007,0.31026
350,52,0.050543,0.22398,0.039192,0.19727
350,53,0.046241,0.21403,0.082421,0.28666
350,54,0.059456,0.2373,0.060142,0.24484
350,55,0.050548,0.22285,0.037275,0.19173
350,56,0.046735,0.21259,0.03388,0.18336
350,57,0.041295,0.19949,0.033183,0.18089
350,58,0.041038,0.20104,0.036676,0.18991
350,59,0.040174,0.19952,0.033244,0.18165
350,60,0.040485,0.19997,0.033542,0.1825
400,1,0.99877,0.99911,0.987,0.99327
400,2,0.89987,0.94801,0.90928,0.95343
400,3,0.76946,0.87676,0.75089,0.86648
400,4,0.70934,0.84216,0.69966,0.83639
400,5,0.67857,0.82361,0.638,0.79869
400,6,0.49166,0.69796,0.39942,0.63115
400,7,0.29292,0.53724,0.22273,0.47086
400,8,0.19986,0.44542,0.19468,0.44037
400,9,0.16067,0.39948,0.15016,0.38681
400,10,0.14355,0.37627,0.12126,0.34718
400,11,0.1291,0.35834,0.11317,0.33515
400,12,0.12485,0.35236,0.14489,0.37899
400,13,0.12529,0.35207,0.10103,0.31702
400,14,0.10879,0.32862,0.13572,0.36667
400,15,0.11116,0.33182,0.09663,0.31007
400,16,0.10636,0.32513,0.10006,0.31503
400,17,0.10446,0.32078,0.085049,0.29058
400,18,0.10504,0.32031,0.083782,0.28863
400,19,0.10304,0.31905,0.081364,0.28426
400,20,0.090853,0.30018,0.092474,0.30286
400,21,0.091092,0.30007,0.073574,0.27038
400,22,0.083396,0.28818,0.095868,0.30903
400,23,0.082715,0.28587,0.074359,0.27194
400,24,0.090703,0.29837,0.093743,0.3053
400,25,0.11583,0.33534,0.10805,0.32813
400,26,0.1013,0.31416,0.07681,0.2757
400,27,0.075144,0.27344,0.062845,0.24985
400,28,0.073874,0.27071,0.061894,0.24802
